0,0,0,-8.2071,0
0.0002,0.0157,1.5,-8.2062,0
0.0006,0.0386,2.3032,-8.2037,0
0.0012,0.0631,2.5476,-8.1992,0
0.0021,0.0876,2.443,-8.1924,0
0.0032,0.1127,2.5037,-8.1832,0
0.0046,0.1377,2.5012,-8.1718,0
0.0062,0.1627,2.5,-8.1581,0
0.0081,0.1878,2.4993,-8.1422,0
0.0102,0.2126,2.5143,-8.1242,0
0.0126,0.2376,2.4816,-8.104,0
0.0152,0.2626,2.511,-8.0816,0
0.0181,0.2876,2.4959,-8.0571,0
0.0212,0.3126,2.4961,-8.0305,0
0.0246,0.3376,2.5062,-8.0019,0
0.0282,0.3626,2.4948,-7.9712,0
0.0321,0.3876,2.5039,-7.9386,0
0.0362,0.4126,2.5025,-7.9041,0
0.0406,0.4376,2.4935,-7.8677,0
0.0452,0.4626,2.5012,-7.8294,0
0.0501,0.4876,2.5076,-7.7893,0
0.0552,0.5125,2.4921,-7.7475,0
0.0606,0.5376,2.499,-7.7038,0
0.0662,0.5626,2.5048,-7.6585,0
0.0721,0.5876,2.4975,-7.6116,0
0.0782,0.6126,2.5031,-7.5631,0
0.0846,0.6376,2.4965,-7.5131,0
0.0912,0.6626,2.5017,-7.4614,0
0.0981,0.6876,2.501,-7.4084,0
0.1052,0.7126,2.5003,-7.3539,0
0.1126,0.7376,2.4998,-7.298,0
0.1202,0.7625,2.4993,-7.2407,0
0.1281,0.7875,2.4988,-7.182,0
0.1362,0.8126,2.4984,-7.122,0
0.1446,0.8376,2.5026,-7.0606,0
0.1532,0.8626,2.502,-6.9982,0
0.1621,0.8876,2.4971,-6.9344,0
0.1712,0.9126,2.5011,-6.8695,0
0.1806,0.9376,2.5006,-6.8033,0
0.1902,0.9625,2.5002,-6.7361,0
0.2001,0.9875,2.4998,-6.6677,0
0.2102,1.0125,2.4994,-6.5981,0
0.2206,1.0375,2.4991,-6.5275,0
0.2312,1.0626,2.4988,-6.4556,0
0.2421,1.0876,2.5023,-6.3827,0
0.2532,1.1125,2.5019,-6.3089,0
0.2646,1.1375,2.4979,-6.234,0
0.2762,1.1625,2.4977,-6.1578,0
0.2881,1.1876,2.5011,-6.0806,0
0.3002,1.2126,2.5042,-6.0026,0
0.3126,1.2375,2.497,-5.9235,0
0.3252,1.2626,2.4969,-5.8431,0
0.3381,1.2876,2.5034,-5.7618,0
0.3512,1.3126,2.4998,-5.6794,0
0.3646,1.3376,2.4996,-5.596,0
0.3782,1.3625,2.5027,-5.5117,0
0.3921,1.3875,2.4961,-5.4261,0
0.4062,1.4125,2.5023,-5.3395,0
0.4206,1.4375,2.499,-5.2518,0
0.4352,1.4625,2.4989,-5.1629,0
0.4501,1.4876,2.5018,-5.073,0
0.4652,1.5126,2.4986,-4.9818,0
0.4806,1.5376,2.5015,-4.8896,0
0.4962,1.5626,2.4984,-4.7962,0
0.5121,1.5876,2.5012,-4.7015,0
0.5282,1.6126,2.5011,-4.6057,0
0.5446,1.6375,2.4982,-4.5087,0
0.5612,1.6625,2.5009,-4.4103,0
0.5781,1.6876,2.4981,-4.3107,0
0.5952,1.7125,2.5036,-4.2097,0
0.6126,1.7375,2.4979,-4.1075,0
0.6302,1.7625,2.4979,-4.0037,0
0.6481,1.7875,2.5033,-3.8986,0
0.6662,1.8125,2.4979,-3.792,0
0.6846,1.8375,2.5005,-3.6839,0
0.7032,1.8625,2.5005,-3.5743,0
0.7221,1.8875,2.5005,-3.4632,0
0.7412,1.9125,2.4979,-3.3503,0
0.7606,1.9375,2.5005,-3.2358,0
0.7802,1.9626,2.5005,-3.1196,0
0.8001,1.9876,2.5004,-3.0016,0
0.8202,2.0125,2.5004,-2.8819,0
0.8406,2.0375,2.498,-2.7603,0
0.8612,2.0625,2.5029,-2.6368,0
0.8821,2.0875,2.4981,-2.5114,0
0.9032,2.1125,2.5005,-2.3838,0
0.9246,2.1375,2.4982,-2.2541,0
0.9462,2.1625,2.5006,-2.1222,0
0.9681,2.1876,2.5007,-1.9881,0
0.9902,2.2125,2.5007,-1.8517,0
1.0126,2.2375,2.4984,-1.7129,0
1.0352,2.2626,2.5008,-1.5716,0
1.0581,2.2875,2.5009,-1.4279,0
1.0812,2.3125,2.4987,-1.2814,0
1.1046,2.3375,2.501,-1.1323,0
1.1282,2.3625,2.4989,-0.9803,0
1.1521,2.3875,2.5012,-0.8254,0
1.1762,2.4125,2.4991,-0.6674,0
1.2006,2.4375,2.4992,-0.5062,0
1.2252,2.4625,2.5014,-0.3418,0
1.2501,2.4875,2.4994,-0.1741,0
1.2752,2.5125,2.4995,-0.0028,0
1.3006,2.5375,2.4997,0.1722,0
1.3262,2.5625,2.4998,0.351,0
1.3521,2.5875,2.502,0.5337,0
1.3782,2.6125,2.498,0.7204,0
1.4046,2.6375,2.5002,0.9114,0
1.4312,2.6625,2.5004,1.1069,0
1.4581,2.6875,2.5005,1.3069,0
1.4852,2.7125,2.4987,1.5117,0
1.5126,2.7375,2.5009,1.7216,0
1.5402,2.7625,2.4991,1.9367,0
1.5681,2.7875,2.5012,2.1572,0
1.5962,2.8125,2.4976,2.3835,0
1.6246,2.8375,2.5016,2.6158,0
1.6532,2.8625,2.4999,2.8542,0
1.6821,2.8875,2.5002,3.099,0
1.7112,2.9125,2.4985,3.3508,0
1.7406,2.9375,2.5025,3.6096,0
1.7702,2.9625,2.4972,3.8759,0
1.8001,2.9875,2.5011,4.1502,0
1.8302,3.0125,2.4996,4.4327,0
1.8606,3.0375,2.4999,4.7238,0
1.8912,3.0625,2.5002,5.0241,0
1.9221,3.0875,2.5005,5.3338,0
1.9532,3.1125,2.4991,5.6537,0
1.9846,3.1375,2.4995,5.9844,0
2.0162,3.1616,2.4049,6.3264,0
2.0477,3.1528,-0.8772,6.6781,0
2.079,3.1278,-2.4991,7.0373,0
2.11,3.1028,-2.4993,7.4038,0
2.1408,3.0778,-2.5011,7.7774,0
2.1714,3.0528,-2.4996,8.1583,0
2.2016,3.0278,-2.4998,8.5471,0
2.2316,3.0028,-2.5017,8.9437,0
2.2614,2.9778,-2.4984,9.3486,0
2.291,2.9528,-2.5003,9.7624,0
2.3202,2.9278,-2.5004,10.1849,0
2.3493,2.9028,-2.4988,10.6167,0
2.378,2.8778,-2.5024,11.0579,0
2.4066,2.8528,-2.4991,11.5087,0
2.4348,2.8278,-2.4992,11.9699,0
2.4629,2.8028,-2.5011,12.4417,0
