0,0,0,0,0.0003,0
0.0002,0,0.0189,1.8846,0.004,0.0006
0.0007,0,0.0527,3.3655,0.0174,0.0022
0.0016,0,0.0877,3.5231,0.0434,0.0047
0.0028,0,0.1226,3.4725,0.0826,0.0084
0.0044,0,0.1577,3.5166,0.135,0.013
0.0063,0,0.1927,3.4975,0.2002,0.0187
0.0086,0,0.2276,3.4992,0.2787,0.0254
0.0112,0,0.2626,3.5001,0.3705,0.0332
0.0142,0.0001,0.2976,3.5007,0.4756,0.042
0.0175,0.0001,0.3326,3.5011,0.594,0.0518
0.0212,0.0001,0.3676,3.4953,0.726,0.0627
0.0252,0.0002,0.4026,3.5027,0.8718,0.0747
0.0296,0.0003,0.4375,3.5028,1.0311,0.0877
0.0343,0.0004,0.4725,3.4933,1.2045,0.1018
0.0394,0.0005,0.5076,3.5042,1.3921,0.117
0.0448,0.0007,0.5425,3.4999,1.5938,0.1332
0.0506,0.0008,0.5775,3.5006,1.8098,0.1505
0.0567,0.0011,0.6125,3.4975,2.0405,0.169
0.0632,0.0013,0.6475,3.5021,2.2861,0.1885
0.07,0.0016,0.6825,3.4959,2.5469,0.2092
0.0772,0.002,0.7176,3.5035,2.8231,0.2309
0.0847,0.0024,0.7525,3.5007,3.1146,0.2538
0.0926,0.0029,0.7875,3.4985,3.4219,0.2778
0.1008,0.0034,0.8225,3.5021,3.7453,0.303
0.1093,0.004,0.8575,3.4974,4.0851,0.3294
0.1182,0.0047,0.8925,3.5009,4.4419,0.3569
0.1275,0.0055,0.9275,3.4991,4.8158,0.3856
0.137,0.0063,0.9625,3.5023,5.207,0.4155
0.147,0.0073,0.9975,3.4983,5.6161,0.4466
0.1572,0.0084,1.0325,3.4993,6.0436,0.479
0.1678,0.0096,1.0675,3.5021,6.4897,0.5125
0.1788,0.011,1.1025,3.4987,6.9548,0.5474
0.1901,0.0124,1.1375,3.4996,7.4398,0.5835
0.2017,0.014,1.1725,3.5004,7.9449,0.6209
0.2136,0.0158,1.2075,3.4993,8.4706,0.6596
0.2259,0.0178,1.2425,3.5002,9.0177,0.6996
0.2385,0.0199,1.2775,3.5009,9.5864,0.741
0.2514,0.0222,1.3125,3.5,10.1773,0.7837
0.2646,0.0247,1.3475,3.4992,10.7914,0.8278
0.2782,0.0275,1.3825,3.5,11.4293,0.8734
0.292,0.0304,1.4175,3.5008,12.0915,0.9203
0.3062,0.0337,1.4525,3.5001,12.7786,0.9686
0.3207,0.0371,1.4875,3.4994,13.4917,1.0185
0.3354,0.0409,1.5225,3.4989,14.2318,1.0698
0.3505,0.0449,1.5575,3.5011,14.9994,1.1227
0.3658,0.0492,1.5925,3.5005,15.795,1.177
0.3814,0.0539,1.6275,3.4999,16.6199,1.233
0.3973,0.0589,1.6625,3.4995,17.475,1.2905
0.4134,0.0642,1.6975,3.5002,18.3614,1.3496
0.4297,0.07,1.7325,3.4998,19.28,1.4104
0.4463,0.0761,1.7675,3.4994,20.232,1.4728
0.4631,0.0826,1.8025,3.5012,21.218,1.5369
0.4801,0.0895,1.8375,3.4987,22.2395,1.6027
0.4973,0.097,1.8725,3.5004,23.2977,1.6703
0.5147,0.1048,1.9075,3.501,24.393,1.7396
0.5322,0.1132,1.9425,3.4986,25.5273,1.8107
0.5499,0.1221,1.9775,3.5012,26.7014,1.8836
0.5677,0.1315,2.0125,3.4989,27.9167,1.9583
0.5855,0.1415,2.0475,3.5004,29.1745,2.0349
0.6034,0.152,2.0703,2.2805,30.4716,2.1129
0.6209,0.1628,2.0597,-1.0589,31.7943,2.1911
0.638,0.174,2.0476,-1.2084,33.1315,2.2693
0.6548,0.1856,2.036,-1.1625,34.4821,2.3476
0.6712,0.1974,2.0249,-1.1148,35.8462,2.426
0.6873,0.2096,2.0142,-1.0677,37.2233,2.5044
0.7029,0.2221,2.004,-1.0181,38.6132,2.5829
0.7182,0.2349,1.9943,-0.9692,40.0155,2.6614
0.7331,0.2481,1.9851,-0.9181,41.4296,2.74
0.7476,0.2615,1.9765,-0.867,42.8556,2.8187
0.7617,0.2753,1.9683,-0.8148,44.2926,2.8974
0.7753,0.2893,1.9607,-0.762,45.7399,2.976
0.7886,0.3036,1.9536,-0.7078,47.1975,3.0548
0.8015,0.3182,1.9471,-0.6537,48.6644,3.1335
0.8139,0.3331,1.9411,-0.5978,50.1401,3.2123
0.8259,0.3483,1.9357,-0.5421,51.6241,3.2911
0.8375,0.3638,1.9308,-0.485,53.1153,3.3699
0.8487,0.3795,1.9266,-0.4277,54.6133,3.4486
0.8594,0.3954,1.9229,-0.3694,56.1168,3.5274
0.8697,0.4116,1.9198,-0.3106,57.6253,3.6061
0.8795,0.4281,1.9154,-0.4362,59.1376,3.6848
0.8888,0.4445,1.8876,-2.777,60.6422,3.7623
0.8974,0.4609,1.8526,-3.4995,62.1252,3.8384
0.9055,0.4772,1.8176,-3.4997,63.5829,3.9131
0.913,0.4933,1.7826,-3.5,65.0138,3.9863
0.92,0.5095,1.7593,-2.3346,66.5548,3.9414
0.9265,0.5258,1.7591,-0.0141,68.3511,3.8691
0.9325,0.5424,1.7596,0.0483,70.1529,3.7967
0.938,0.5591,1.7601,0.0448,71.954,3.7242
0.9429,0.576,1.7605,0.0398,73.754,3.6517
0.9473,0.5931,1.7608,0.0336,75.5528,3.5791
0.9511,0.6103,1.7611,0.0264,77.3516,3.5064
0.9544,0.6276,1.7613,0.0187,79.1496,3.4338
0.9572,0.645,1.7614,0.0108,80.9474,3.3612
0.9594,0.6624,1.7614,0.0031,82.745,3.2886
0.9611,0.6799,1.7614,-0.004,84.5422,3.2161
0.9622,0.6975,1.7613,-0.0103,86.34,3.1436
0.9628,0.7151,1.7611,-0.0153,88.138,3.0713
0.9628,0.7327,1.7609,-0.0187,89.9363,2.999
0.9623,0.7503,1.7607,-0.0202,91.7353,2.9268
0.9612,0.7679,1.7605,-0.0196,93.5345,2.8548
