0,0,0,-8.6378,0.0005
0.0004,0.0317,3,-8.6437,0.0048
0.0012,0.0811,5.052,-8.6613,0.0148
0.0025,0.1324,5.2537,-8.6939,0.0313
0.0043,0.1841,5.2,-8.7429,0.0546
0.0067,0.2366,5.2316,-8.8089,0.0848
0.0095,0.289,5.2774,-8.8915,0.1214
0.013,0.3415,5.2085,-8.9913,0.1654
0.0169,0.3941,5.2777,-9.1085,0.2157
0.0214,0.4465,5.2475,-9.2425,0.2729
0.0263,0.4989,5.2503,-9.3941,0.3371
0.0319,0.5515,5.2338,-9.5643,0.4086
0.0379,0.6039,5.2743,-9.7525,0.4865
0.0444,0.6563,5.2393,-9.9589,0.5719
0.0515,0.7088,5.2439,-10.1852,0.6646
0.0592,0.7614,5.2475,-10.4316,0.7648
0.0673,0.8139,5.2629,-10.6977,0.8718
0.076,0.8663,5.2393,-10.9846,0.9869
0.0852,0.9189,5.2546,-11.2932,1.1093
0.0949,0.9714,5.2458,-11.6239,1.2397
0.1051,1.0238,5.2587,-11.9772,1.3775
0.1159,1.0763,5.2412,-12.3541,1.5237
0.1272,1.1288,5.2538,-12.7559,1.678
0.139,1.1813,5.2473,-13.1829,1.8407
0.1513,1.2339,5.2502,-13.6364,2.0119
0.1642,1.2864,5.2527,-14.117,2.1916
0.1776,1.3388,5.2476,-14.6259,2.3802
0.1915,1.3914,5.2504,-15.1645,2.5779
0.2059,1.4438,5.2529,-15.7333,2.7846
0.2209,1.4963,5.2487,-16.3337,3.0009
0.2364,1.5488,5.2454,-16.9679,3.2272
0.2524,1.6013,5.2542,-17.6365,3.463
0.2689,1.6538,5.2506,-18.3402,3.7089
0.286,1.7063,5.2477,-19.0812,3.9655
0.3035,1.7588,5.2504,-19.8608,4.2326
0.3217,1.8113,5.2478,-20.6804,4.5108
0.3403,1.8638,5.2551,-21.5407,4.7997
0.3595,1.9163,5.2432,-22.4436,5.1007
0.3791,1.9688,5.2549,-23.3905,5.4129
0.3994,2.0213,5.248,-24.3814,5.7372
0.4201,2.0738,5.2543,-25.4175,6.0733
0.4414,2.1262,5.2439,-26.5002,6.4225
0.4631,2.1788,5.2538,-27.6302,6.784
0.4855,2.2313,5.2477,-28.807,7.1587
0.5083,2.2838,5.2529,-30.0304,7.5461
0.5317,2.3363,5.247,-31.3003,7.9474
0.5555,2.3888,5.2549,-32.6149,8.3613
0.5799,2.4412,5.2456,-33.9732,8.7895
0.6049,2.4937,5.2527,-35.3734,9.231
0.6304,2.5463,5.2468,-36.8126,9.6868
0.6563,2.5988,5.2529,-38.2873,10.1559
0.6829,2.6513,5.2497,-39.7925,10.6387
0.7099,2.7038,5.252,-41.3237,11.1348
0.7374,2.7562,5.2485,-42.8757,11.6446
0.7655,2.8087,5.25,-44.4431,12.1677
0.794,2.8424,3.3646,-46.0144,12.7009
0.8226,2.861,1.8603,-47.5732,13.2399
0.8514,2.8838,2.2757,-49.1096,13.7858
0.8805,2.9109,2.7195,-50.6202,14.3386
0.9099,2.9429,3.1914,-52.1025,14.8999
0.9397,2.9799,3.709,-53.5528,15.4691
0.97,3.0226,4.2671,-54.9682,16.0484
1.0007,3.0715,4.8843,-56.3457,16.6372
1.0319,3.1238,5.2323,-57.6808,17.2367
1.0637,3.1763,5.249,-58.9699,17.8467
1.096,3.2288,5.2525,-60.2072,18.4663
1.1288,3.2813,5.2472,-61.3881,19.0964
1.1621,3.3338,5.2531,-62.5081,19.7356
1.196,3.3863,5.2482,-63.5629,20.3849
1.2304,3.4388,5.25,-64.5494,21.0437
1.2653,3.4913,5.2499,-65.4637,21.712
1.3007,3.5438,5.2499,-66.3026,22.3899
1.3367,3.5963,5.2501,-67.0629,23.0773
1.3732,3.6488,5.2505,-67.7415,23.7742
1.4102,3.7013,5.2511,-68.3352,24.4807
1.4477,3.7538,5.248,-68.8411,25.1978
1.4858,3.8063,5.249,-69.2561,25.9255
1.5244,3.8588,5.2521,-69.5758,26.6632
1.5633,3.8871,2.8329,-69.796,27.4079
1.6016,3.8401,-4.7075,-69.9121,28.1446
1.6395,3.7876,-5.2505,-69.9244,28.8728
1.6769,3.7351,-5.2496,-69.8355,29.5931
1.7137,3.6826,-5.2486,-69.6477,30.3059
1.75,3.63,-5.2514,-69.363,31.0108
1.7858,3.5775,-5.2502,-68.9833,31.7083
1.821,3.5251,-5.2508,-68.5098,32.3984
1.8558,3.4726,-5.2492,-67.9437,33.0815
1.89,3.4201,-5.2495,-67.2859,33.7578
1.9236,3.3676,-5.2517,-66.5376,34.4267
1.9568,3.3151,-5.2475,-65.6996,35.0892
1.9894,3.2625,-5.2514,-64.7731,35.7443
2.0215,3.21,-5.2509,-63.76,36.3919
2.0531,3.1575,-5.248,-62.6616,37.0327
2.0841,3.105,-5.2514,-61.4803,37.6655
2.1147,3.0526,-5.2502,-60.2193,38.2904
2.1447,3.0001,-5.2487,-58.8816,38.9073
2.1741,2.9476,-5.2493,-57.4713,39.5157
2.2031,2.8951,-5.252,-55.9942,40.1146
2.2315,2.843,-5.2082,-54.456,40.7045
2.2595,2.7952,-4.7708,-52.8613,41.2854
2.287,2.7539,-4.1405,-51.2151,41.8578
2.3142,2.7183,-3.5601,-49.5213,42.4228
2.3411,2.688,-3.0256,-47.7835,42.9809
2.3677,2.6627,-2.5267,-46.0067,43.5326
2.3941,2.6421,-2.0579,-44.1964,44.078
2.4204,2.626,-1.6118,-42.3588,44.6175
2.4465,2.6142,-1.1854,-40.499,45.1518
2.4726,2.6064,-0.7762,-38.6241,45.6802
2.4986,2.6026,-0.3789,-36.7394,46.2043
2.5246,2.6027,0.0065,-34.8508,46.7232
2.5507,2.6065,0.3832,-32.9663,47.2373
2.5768,2.614,0.7524,-31.0915,47.7466
2.6031,2.6252,1.115,-29.2316,48.2517
2.6295,2.6399,1.4732,-27.3917,48.7526
2.6561,2.6582,1.8268,-25.5762,49.2497
2.6829,2.68,2.1804,-23.7909,49.7421
2.7099,2.7053,2.5258,-22.0393,50.2313
2.7373,2.734,2.8747,-20.3234,50.7168
2.7649,2.7662,3.2213,-18.6473,51.1985
2.793,2.8019,3.5654,-17.0131,51.6771
2.8214,2.841,3.9113,-15.4219,52.1525
2.8502,2.8835,4.2552,-13.8749,52.6253
2.8795,2.9296,4.6057,-12.3936,53.0419
2.9093,2.9806,5.1026,-11.6135,53.2495
2.9396,3.0331,5.2493,-11.1627,53.4595
2.9705,3.0856,5.2492,-10.72,53.6718
3.0019,3.1381,5.2519,-10.2855,53.8862
3.0338,3.1906,5.249,-9.8592,54.1029
3.0662,3.2431,5.2489,-9.4408,54.3218
3.0992,3.2956,5.2517,-9.0304,54.5428
3.1326,3.3481,5.2489,-8.6279,54.7662
3.1666,3.4006,5.2517,-8.2331,54.9916
3.2012,3.4531,5.2491,-7.8461,55.2193
3.2362,3.5056,5.2492,-7.4664,55.4493
3.2718,3.5581,5.2494,-7.0941,55.6816
3.3079,3.6106,5.2521,-6.7291,55.9159
3.3446,3.6631,5.2472,-6.3712,56.1528
3.3817,3.7156,5.2525,-6.0203,56.3918
3.4194,3.7681,5.2477,-5.6763,56.6333
3.4576,3.8206,5.253,-5.3392,56.8769
3.4963,3.8731,5.2459,-5.0086,57.1232
3.5356,3.9256,5.2537,-4.6845,57.3716
3.5754,3.9779,5.2286,-4.3667,57.6228
3.6153,4,2.2107,-4.0564,57.8742
3.6554,4,-0.0001,-3.7553,58.1251
3.6954,4,-0.0001,-3.4635,58.3753
3.7353,4,-0.0001,-3.1808,58.6249
3.7753,4,-0.0001,-2.9068,58.874
3.8153,4,-0.0001,-2.6409,59.1226
3.8554,4,-0.0001,-2.3827,59.371
3.8954,4,-0.0001,-2.1321,59.6189
3.9354,4,-0.0001,-1.8886,59.8667
3.9753,4,-0.0001,-1.6521,60.1141
4.0154,4,-0.0001,-1.422,60.3616
4.0554,4,-0.0001,-1.1982,60.6091
4.0953,4,-0.0001,-0.9804,60.8563
4.1354,4,-0.0001,-0.7685,61.1041
4.1754,4,-0.0001,-0.562,61.3518
4.2153,4,-0.0001,-0.361,61.5995
4.2554,4,-0.0001,-0.1652,61.8479
4.2953,4,-0.0001,0.0257,62.0963
4.3354,4,-0.0001,0.2117,62.3454
4.3754,4,-0.0001,0.3932,62.5949
4.4154,4,-0.0001,0.5701,62.8452
4.4554,4,-0.0001,0.7427,63.0959
4.4954,4,-0.0001,0.911,63.3475
4.5354,4,-0.0001,1.0752,63.5998
4.5754,4,-0.0001,1.2354,63.8532
4.6153,4,-0.0001,1.3918,64.1074
4.6554,4,-0.0001,1.5443,64.3629
4.6953,4,-0.0001,1.6931,64.6194
4.7354,4,-0.0001,1.8383,64.8774
4.7754,4,-0.0001,1.9799,65.1366
4.8154,4,-0.0001,2.118,65.3975
4.8554,4,-0.0001,2.2526,65.6599
4.8954,4,-0.0001,2.3838,65.9242
4.9353,4,-0.0001,2.5117,66.19
4.9754,4,-0.0001,2.6361,66.4582
5.0154,4,-0.0001,2.7572,66.7285
5.0554,4,-0.0002,2.875,67.001
5.0954,4,-0.0002,2.9893,67.2761
5.1353,4,-0.0002,3.1003,67.5537
5.1753,4,-0.0002,3.2077,67.8343
5.2154,4,-0.0002,3.3117,68.1181
5.2553,4,-0.0002,3.412,68.4049
5.2953,3.9929,-0.7023,3.5084,68.695
5.3347,3.9466,-4.6378,3.6004,68.9855
5.3737,3.894,-5.249,3.6873,69.2762
5.4121,3.8415,-5.2524,3.769,69.5669
5.45,3.789,-5.2497,3.8454,69.8581
5.4874,3.7365,-5.2491,3.9164,70.1499
5.5242,3.684,-5.2508,3.9819,70.4425
5.5605,3.6315,-5.2505,4.0415,70.736
5.5963,3.579,-5.2484,4.0953,71.0308
5.6316,3.5265,-5.2505,4.1427,71.3271
5.6663,3.474,-5.2508,4.1835,71.6249
5.7005,3.4215,-5.2513,4.2171,71.9246
5.7342,3.369,-5.2482,4.243,72.2268
5.7674,3.3165,-5.2514,4.2607,72.5316
5.8,3.264,-5.2492,4.2691,72.8396
5.8321,3.2115,-5.2513,4.2673,73.151
5.8637,3.159,-5.2484,4.2539,73.4668
5.8948,3.1065,-5.252,4.2274,73.7872
5.9253,3.054,-5.249,4.1857,74.1133
5.9553,3.0015,-5.251,4.1261,74.4459
5.9848,2.949,-5.2492,4.045,74.7863
6.0138,2.8965,-5.2514,3.9378,75.1357
6.0422,2.844,-5.2494,3.7979,75.4961
6.0702,2.7915,-5.2514,3.6161,75.8696
6.0976,2.7404,-5.1078,3.8037,76.0356
6.1244,2.6865,-5.3912,5.412,76.09
6.1508,2.6345,-5.1936,7.2101,76.1448
6.1766,2.5858,-4.8802,9.0861,76.1999
6.202,2.5409,-4.482,11.0409,76.2555
6.227,2.5001,-4.0891,13.0759,76.3116
6.2517,2.4631,-3.6959,15.1893,76.3682
6.276,2.4301,-3.2986,17.3806,76.4254
6.3,2.401,-2.9073,19.6459,76.4831
6.3237,2.3759,-2.5087,21.9798,76.5413
6.3473,2.3548,-2.1129,24.3769,76.6001
6.3707,2.3377,-1.7131,26.8291,76.6595
6.3939,2.3246,-1.3131,29.3269,76.7195
6.4171,2.3155,-0.9099,31.8584,76.7799
6.4402,2.3104,-0.5037,34.4131,76.841
6.4633,2.3095,-0.0946,36.9785,76.9026
6.4864,2.3127,0.3188,39.5392,76.9647
6.5096,2.32,0.7367,42.0823,77.0274
6.5329,2.3316,1.1606,44.5964,77.0906
6.5564,2.3476,1.5917,47.0694,77.1543
